name,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015
Kingston upon Thames,"146,000","146,000","145,000","145,000","145,000","144,000","143,000","142,000","141,000","141,000","142,300","141,300","140,000","138,600","138,000","137,900","136,600","136,200","135,700","135,400","134,300","133,300","133,100","133,200","132,500","132,100","130,100","132,000","133,100","135,700","136,100","136,100","136,100","136,400","137,800","139,200","141,300","143,800","146,000","147,300","149,000","149,600","149,700","151,100","152,500","153,700","154,500","156,000","157,300","158,600","160,400","163,900","166,800","170,000","173,525"
Lambeth,"340,000","340,000","337,000","334,000","331,000","329,000","326,000","325,000","319,000","313,000","311,500","307,700","303,700","300,400","296,000","288,100","282,300","270,300","262,600","256,600","252,900","248,000","246,500","247,400","248,300","251,300","251,000","248,900","249,300","245,500","255,000","255,600","254,600","256,600","257,200","259,700","259,900","263,800","266,800","270,000","273,400","273,000","272,200","274,300","277,600","280,500","285,000","289,100","294,100","297,700","304,500","310,200","314,200","318,200","324,431"
Lewisham,"290,000","291,000","289,000","288,000","286,000","284,000","284,000","279,000","278,000","273,000","271,900","268,300","265,000","259,900","254,700","249,500","246,800","242,800","240,100","238,300","236,400","235,800","235,100","236,500","237,900","238,500","239,100","237,600","236,600","237,700","240,200","239,700","240,400","242,000","240,400","243,100","243,900","247,200","250,300","252,100","254,300","253,700","251,900","252,500","254,900","258,000","261,200","266,500","270,400","272,500","276,900","281,600","286,200","291,900","297,325"
Merton,"188,000","188,000","187,000","185,000","185,000","184,000","183,000","181,000","180,000","179,000","179,300","179,700","179,500","178,100","176,800","175,200","171,400","169,000","168,200","167,400","167,600","167,200","166,400","165,700","166,700","167,600","167,200","167,800","168,300","169,900","170,900","171,700","173,700","175,800","177,700","180,600","181,700","182,400","185,100","188,200","191,100","190,600","189,300","188,900","190,600","192,500","194,300","195,900","198,100","199,100","200,500","202,200","203,200","203,500","204,565"
Newham,"264,000","262,000","260,000","257,000","254,000","252,000","250,000","248,000","244,000","240,000","238,900","235,300","234,300","233,200","230,700","227,500","225,600","222,400","218,900","216,500","212,900","211,500","209,800","209,200","208,900","206,000","207,700","208,700","209,500","212,300","216,300","219,200","222,300","224,900","228,000","229,900","231,000","235,000","240,500","245,500","249,400","255,300","256,200","254,400","253,800","258,000","266,300","276,500","286,400","299,200","310,500","314,100","318,200","324,300","332,817"
Redbridge,"249,000","249,000","248,000","247,000","248,000","247,000","245,000","243,000","242,000","241,000","242,700","241,200","240,400","237,700","236,400","235,200","234,300","232,700","231,200","231,000","229,300","219,600","218,100","217,000","217,900","217,100","218,500","218,600","219,400","221,700","222,000","223,500","224,700","226,700","228,700","232,800","235,000","236,000","238,100","239,900","241,900","244,300","247,400","248,800","251,600","255,600","260,000","265,500","270,400","275,100","281,400","284,600","288,300","293,100","296,793"
Richmond upon Thames,"182,000","182,000","180,000","180,000","180,000","179,000","177,000","177,000","177,000","176,000","177,000","174,400","173,200","171,100","169,900","168,300","167,200","165,700","163,600","161,700","161,800","162,800","162,900","162,000","162,400","162,300","162,700","159,900","162,200","165,200","166,600","165,100","164,600","165,000","166,600","168,700","170,000","169,900","172,800","172,900","174,300","175,400","177,200","179,300","181,500","182,500","182,400","182,900","184,400","186,300","187,500","189,100","191,400","193,600","194,730"
Southwark,"312,000","310,000","307,000","305,000","301,000","295,000","290,000","284,000","279,000","271,000","266,600","259,300","253,300","246,300","238,800","232,900","226,800","222,500","220,000","219,700","218,300","215,300","216,400","216,800","217,400","217,800","218,600","219,000","222,000","228,300","227,200","228,400","231,400","231,600","236,900","236,600","239,000","242,200","247,900","252,700","256,700","256,300","255,200","257,300","261,800","267,600","272,600","277,000","281,100","283,800","288,700","293,500","298,500","302,500","308,901"
Sutton,"168,000","168,000","167,000","167,000","166,000","166,000","165,000","166,000","167,000","168,000","170,400","170,000","169,000","168,000","168,500","168,800","169,500","169,800","169,800","170,200","170,100","170,500","170,300","170,300","170,600","169,800","169,900","169,700","170,700","170,300","170,100","171,000","172,600","172,900","174,200","175,700","177,000","177,900","179,400","180,500","181,500","181,300","181,300","181,100","182,100","182,900","184,200","185,900","188,200","189,300","191,100","193,600","195,900","198,100","200,145"
Tower Hamlets,"204,000","203,000","201,000","202,000","200,000","198,000","192,000","185,000","179,000","171,000","166,500","160,000","155,800","153,500","150,900","148,200","148,700","147,200","146,000","145,200","145,200","143,500","142,500","142,700","144,800","150,200","156,000","158,700","160,700","164,000","166,300","167,300","169,000","171,500","175,200","180,300","184,800","187,900","193,500","197,100","201,100","207,000","208,700","211,200","213,400","218,400","225,300","231,900","240,500","248,500","256,000","263,000","272,900","284,000","295,236"
Waltham Forest,"247,000","246,000","244,000","243,000","241,000","240,000","238,000","236,000","236,000","235,000","236,700","236,000","235,100","232,700","229,700","226,500","223,700","221,300","219,800","219,200","217,500","215,400","214,900","214,900","216,100","215,800","214,400","213,100","211,700","213,700","215,900","216,600","218,000","220,100","220,400","220,000","219,800","222,300","221,100","221,300","222,000","223,800","224,100","225,000","226,700","230,700","235,700","242,100","248,100","254,000","259,700","262,600","265,800","268,000","271,170"
Wandsworth,"334,000","333,000","330,000","328,000","326,000","324,000","322,000","317,000","312,000","308,000","307,200","301,700","298,600","293,600","289,600","283,400","277,500","273,400","269,200","266,200","262,000","259,700","260,100","260,700","261,700","260,500","261,800","261,100","260,500","261,000","262,000","261,800","260,900","261,300","259,900","261,100","260,600","261,000","264,200","267,700","271,700","274,900","276,800","278,600","283,200","287,500","291,400","294,300","299,300","302,600","307,700","308,300","310,500","312,100","314,544"
Westminster,"271,000","270,000","270,000","269,000","266,000","262,000","258,000","254,000","250,000","244,000","233,300","225,800","219,600","211,400","206,400","201,800","197,200","196,300","194,400","191,900","188,200","186,600","185,100","183,400","180,900","178,300","175,800","172,400","176,300","182,700","185,000","181,000","176,900","174,100","174,200","178,500","181,800","184,700","189,200","196,500","203,300","208,100","211,000","214,600","223,100","222,800","220,600","218,700","217,000","217,200","219,600","223,900","226,800","233,300","242,299"
